Bundesland;Insgesamt;Ohne_beruflichen_Abschluss;Lehre_Berufsausbildung_im_dualen_System;Fachschulabschluss;Fachakademie_Berufsakademie;Fachhochschulabschluss;Hochschulabschluss;Promotion
Baden-Württemberg;8905260;2567560;3845570;985340;158760;536150;682850;
Bayern;10595470;2807700;4861110;1129320;243990;569240;824610;
Berlin;2850730;770260;1045210;300230;42530;207260;416680;
Brandenburg;2151290;361690;1122740;288270;22290;171000;161830;
Bremen;564560;181410;234920;45040;7910;29540;57390;
Hamburg;1470260;418230;573790;130750;28020;93950;199730;25800
Hessen;5123920;1512240;2195940;478580;77860;304630;474670;
Mecklenburg-Vorpommern;1401370;243710;744000;193460;10680;100330;95730;
Niedersachsen;6630290;1900720;3134140;688650;82130;326020;431870;66750
Nordrhein-Westfalen;15019540;4503330;6823980;1396020;205750;766980;1141580;
Rheinland-Pfalz;3435380;1020090;1586450;352090;40640;178310;220610;
Saarland;874820;265080;412340;84400;11260;40160;53740;
Sachsen;3537060;544570;1869080;495770;39080;253100;290480;
Sachsen-Anhalt;2020800;348280;1128330;241570;14050;144220;127030;
Schleswig-Holstein;2399480;636280;1171190;251310;31110;126590;157620;25380
Thüringen;1928860;302720;1056180;260810;16880;138180;134660;
