-Baden-Württemberg-;;;;;;;;;;
Esslingen;276;35,1;33,9;15,1;8,1;291;33,7;24,3;19,2;19,2
Freiburg;1352;9,8;37,3;29;15,3;1100;10,3;24;41,9;20,3
Furtwangen;68;10,4;17,9;38,8;25,4;466;29,3;17,8;35;12
Geislingen;54;31,5;44,4;13;3,7;438;37,5;14,5;26,6;16,5
Gengenbach;77;43,4;18,4;28,9;0;123;51,7;25;15;0,8
Heidelberg;992;19,9;35,1;26,4;12,8;2063;15,2;27,9;33,2;20,7
Heilbronn;115;35,7;28,7;18,3;11,3;456;32,4;13,5;34,3;16,2
Karlsruhe;825;21,6;26,7;27,4;19,5;1435;19;16,8;47,9;13,5
Konstanz;734;8,5;30,4;34,2;20,4;1365;8,3;21,2;42,5;23,8
Mannheim;797;30,2;36,6;20,3;7,8;1224;14,6;29,3;38;15,6
Nürtingen;106;38,7;32,1;14,2;7,5;280;51,2;18,2;19,8;5
Pforzheim;265;32,4;29,8;21;13,7;1021;32,9;16,6;32,1;16,2
Reutlingen;133;37,1;22;21,2;9,8;860;28;12;38,4;16,5
Sigmaringen;96;35,4;22,9;19,8;9,4;140;31,6;25;23,5;16,9
Stuttgart;550;43;27,3;18,5;8,5;1542;44;17,7;23,7;11,6
Tübingen;1216;15,1;29;25,5;20,5;1490;14,6;22,7;40,4;19
Ulm;644;21,4;27;25,9;20,5;702;23,5;19,9;36,8;16,5
Villingen-Schwenningen;94;13,8;21,3;41,5;6,4;182;16,7;17,2;47,8;14,4
Weingarten;114;32,1;29,4;19,3;14,7;221;42,6;15,3;25,8;10,5
;;;;;;;;;;
-Bayern-;;;;;;;;;;
Ansbach;72;61,1;18,1;2,8;11,1;211;54,2;21,1;15,8;4,7
Augsburg;505;31,8;36,8;12,1;14,5;1047;38,1;18,4;25,3;14,7
Bamberg;325;9;34,5;27,6;25,8;425;12,1;25,3;41,7;17,7
Bayreuth;411;12,3;36,8;19,5;25,9;1506;10,6;22,4;40,8;23,1
Benediktbeuern;115;15,2;16,1;35,7;18,8;142;24,8;17,8;38;13,2
Coburg;120;35;26,5;12;19,7;388;26,5;25,9;34,7;11,5
Deggendorf;149;32,2;41,8;12,3;0,7;321;29,7;18,9;17,4;30,1
Eichstätt;130;20,3;22,7;27,3;21,9;239;19,4;21,1;24,7;30,8
Erlangen;865;25,8;29,3;13,8;25,5;996;28,9;25,1;27,2;15,8
Garching;87;37,6;28,2;14,1;15,3;160;51,7;11,7;12,4;21,4
Hof;80;41,3;41,3;12,5;1,3;155;32,6;31,9;19,9;10,6
Ingolstadt;307;31,1;27,8;15,6;19,9;772;37,2;15,4;19,9;24,5
Landshut;179;44,1;20,3;8,5;20,3;157;33,1;21,1;27,1;16,5
München;2235;30;31,8;15,6;14,4;4194;26,1;26,7;25,7;16,1
Neu-Ulm;87;59,8;21,8;6,9;8;85;44,2;9,1;31,2;11,7
Nürnberg;591;25,3;43,8;14,9;11,1;606;26,6;29,2;25,7;15
Passau;362;9,4;47,4;20,8;16,9;728;10,3;34;41,1;12,3
Regensburg;1269;15,1;34,4;19,6;22,6;1440;22,2;27,3;26,3;21,2
Würzburg;1204;12,9;37,3;24,8;20,1;2390;16,1;26,1;40,4;14,8
;;;;;;;;;;
-Berlin-;;;;;;;;;;
Berlin;3176;20,9;48,8;20;7,3;2912;24,7;34,5;30,6;5,7
;;;;;;;;;;
-Brandenburg-;;;;;;;;;;
Brandenburg;180;32;36;11,8;16,3;145;20,1;41;11,2;26,1
Cottbus;225;29,6;26,9;15,7;24,2;106;20,4;23,5;27,6;27,6
Frankfurt;147;11,7;24,1;6,9;55,9;214;12,6;22,1;26,6;36,2
Potsdam;672;19,7;37,7;23,7;16,6;403;17,9;28;17,3;34,2
Wildau;146;34,2;30,1;8,9;22,6;50;43,5;37;8,7;10,9
;;;;;;;;;;
-Bremen-;;;;;;;;;;
Bremen;550;25,8;40,3;19,1;7,1;882;22,3;20;24,3;30,7
Bremerhaven;97;32,3;49;4,2;12,5;130;22,1;33,7;41,3;1,9
;;;;;;;;;;
-Hamburg-;;;;;;;;;;
Hamburg;1554;21,7;47,7;20,2;5,7;946;22,8;35,6;26,3;9,5
;;;;;;;;;;
-Hessen-;;;;;;;;;;
Darmstadt;894;32,5;30,7;17,5;12,6;1090;37,2;17,2;29,5;13,1
Frankfurt;1214;33,5;38,1;13,4;8,8;2310;34,5;27;22,4;12,9
Fulda;311;32,6;31,2;22,6;6,3;338;34,4;31,2;19,9;7,8
Gießen;700;29,1;32;25,1;9,6;673;39,5;23,5;28;6,1
Kassel;266;24,9;44,7;23,3;2,3;481;34,2;32,6;24,7;4,7
Marburg;958;7,7;35,2;37;11,9;868;13,8;28,4;49,1;7,5
Oestrich-Winkel;203;5,4;61,1;19,2;3,9;282;5,3;51,2;28,3;3,7
Wiesbaden;335;33;41,7;16,2;5,4;348;30,6;37,2;22,5;5
;;;;;;;;;;
-Mecklenburg-Vorpommern-;;;;;;;;;;
Greifswald;664;7,1;39,6;35,4;14,8;831;1,2;41,6;42,2;12,5
Neubrandenburg;84;8,3;40,5;32,1;17,9;52;10;55;12,5;17,5
Rostock;628;16;38,4;32,4;11,4;330;8,7;41,9;35,9;11,4
Stralsund;162;18,5;19,1;32,1;26,5;261;4,3;33,9;30;30,4
Wismar;162;31,1;29,2;17,4;20,5;52;7;46,5;27,9;18,6
;;;;;;;;;;
-Niedersachsen-;;;;;;;;;;
Braunschweig;807;12;39,2;30,1;13,5;703;23,4;31,1;32,5;10,4
Clausthal;136;3,8;34,6;13,1;48,5;128;10,4;31,2;31,2;24,8
Emden;73;20,6;30,9;20,6;17,6;103;13,4;26,8;44,3;10,3
Göttingen;1088;6,5;42,2;26;20,7;1778;8,6;29;42,1;17,4
Hannover;1080;19,4;40,6;27,2;6,5;1139;34,5;23,3;33,4;5,3
Hildesheim;180;17,5;42,4;26,6;7,3;211;26,8;25,6;36,9;10,1
Oldenburg;483;8,5;39,4;29,2;17,4;494;24,8;30;31,9;10,2
Osnabrück;492;17,8;39,8;25,1;10,6;1140;19,5;28,1;40,5;8,4
Wilhelmshaven;117;17,2;41,4;19,8;14,7;55;16,3;32,7;46,9;0
;;;;;;;;;;
-Nordrhein-Westfalen-;;;;;;;;;;
Aachen;922;16,5;47,7;19,5;11,2;1427;15,9;33,8;35,9;11,6
Bielefeld;793;29,1;34,4;16,6;16,2;935;38,1;30,9;16,7;11,4
Bochum;653;35,3;39,2;9,7;10,9;1307;42,6;25,4;19;10,9
Bonn;868;20;38;18,7;16,8;962;23,5;28,3;31,7;14,3
Dortmund;969;31;38,7;12,6;13,8;846;46,4;26,3;17,6;8,4
Duisburg;242;39,7;38;11,4;8,4;894;43,6;28;19,6;6,6
Düsseldorf;710;34,4;39,4;6,3;16,4;1311;41,3;25,4;14;16,1
Essen;241;35,3;48,5;5,5;8,5;1131;39,7;35,6;16,8;5,4
Gummersbach;93;24,2;41,8;12,1;15,4;98;44,4;24,7;18,5;9,9
Köln;1328;21,6;45,4;16,4;8,1;837;24,5;34,4;30,7;6,6
Münster;1672;13,7;30,8;33,2;17,3;2949;12;28,5;39,9;17
Paderborn;706;25,3;33,3;27,4;10;958;32,2;24,7;34,6;5,9
Siegen;369;42,7;29,6;11,9;10;566;33,1;27,7;25,1;10,6
Witten;186;6;55,2;32,8;2,2;258;7,1;44,3;47,1;0,5
Wuppertal;240;45,7;36,3;3,8;10,7;325;53,3;26,3;9,7;8,3
;;;;;;;;;;
-Rheinland-Pfalz-;;;;;;;;;;
Birkenfeld;57;30,9;16,4;7,3;41,8;76;47,2;20,8;5,6;22,2
Kaiserslautern;550;14,4;34,1;12,4;36;490;24,5;28,2;26,1;18,6
Koblenz;171;24,7;35,9;24,1;10;399;37,2;24,6;24;10,7
Landau;50;42,2;22,2;13,3;13,3;52;24,4;22;34,1;14,6
Mainz;1339;26,1;37,7;17,8;11,5;1722;24,3;22,6;30,1;19,8
Trier;441;13,8;33,9;25,5;22;293;28,8;27,2;23;17,1
Vallendar;97;3,1;64,6;22,9;0;98;1,1;50;37,2;5,3
;;;;;;;;;;
-Saarland-;;;;;;;;;;
Homburg/Saar;87;24,4;42,3;10,3;12,8;401;14,4;32;30,8;19,5
Saarbrücken;631;45,3;30,5;10,7;10,1;1014;58;20;14,5;4,3
;;;;;;;;;;
-Sachsen-;;;;;;;;;;
Chemnitz;407;33,3;20,1;10;36,3;143;11,9;39,8;31,4;16,1
Dresden;1362;18,9;28,7;28,1;22,3;709;10,3;31,8;40,2;16,9
Freiberg;109;15,7;22,2;34,3;25;102;9,4;19,8;22,9;47,9
Görlitz;126;20;17,6;28,8;32,8;112;8,2;47,4;28,9;15,5
Leipzig;1623;19,7;31,8;32;14,9;82;14,5;40,8;18,4;22,4
Mittweida;171;37,6;31,2;6,5;22,4;56;6,3;50;20,8;22,9
Zittau;122;42,5;9,2;12,5;33,3;62;18,9;26,4;20,8;32,1
Zwickau;227;43,3;25;6,7;23,7;100;28,1;33,3;20,8;16,7
;;;;;;;;;;
-Sachsen-Anhalt-;;;;;;;;;;
Bernburg;87;27,1;20;22,4;27,1;59;10,9;45,5;29,1;12,7
Halle;891;23,3;35,9;23,2;16,2;1012;7,1;43,1;34,3;14,4
Magdeburg;553;20,8;33,1;26,3;17,7;775;5,7;38,2;42,1;12,5
Merseburg;219;38,2;25,8;9,2;23,5;110;21,9;44,8;20;11,4
Wernigerode;59;15,5;10,3;29,3;37,9;260;14,3;38;24,1;22,9
;;;;;;;;;;
-Schleswig-Holstein-;;;;;;;;;;
Elmshorn;204;25,7;35,1;15,3;12,4;397;22,2;21,9;32,9;14,5
Flensburg;203;17,9;42,6;28,7;5,6;183;17,3;26,7;48;5,3
Kiel;968;9,5;41,7;36,3;7,6;1033;14,9;31,5;44,2;7,6
Lübeck;290;8;57;21,7;8,4;650;9,8;43,7;37,7;6,3
Wedel;134;36,1;36,1;18;6,8;82;50,7;28;13,3;6,7
;;;;;;;;;;
-Thüringen-;;;;;;;;;;
Erfurt;180;24;31,8;24,6;16,8;262;5,4;42,7;38,5;11,3
Ilmenau;365;8,7;15,2;36,8;37,1;260;2,1;30,8;35;29,9
Jena;1488;15,1;26;38,6;16,9;1218;8,4;30,9;43,9;13,8
Schmalkalden;191;27,7;14,9;23,9;26,1;98;15,6;28,9;25,6;27,8
